#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: sprites.png (424 x 2048)
# $TexturePacker:SmartUpdate:c8511af555236f49de0e70dd9a7f330e:3c93535e0166175ddb3b77b748639f98:9372a5c6e87557cd082219126b413cbe$
#

biplane/body;1;218;1852;37;90;90;40;0.5;0.4594594594594595
biplane/crate;0;305;1823;20;13;20;13;0.5;0.5
biplane/propeller/1;0;419;1833;4;20;4;24;0.5;0.4
biplane/propeller/2;1;166;980;16;4;4;24;0.5;0.5
biplane/propeller/3;1;184;980;9;4;4;24;0.5;0.5555555555555556
bomber/body;1;308;553;49;122;127;49;0.4959016393442623;0.5
bomber/bomb;1;417;1342;6;23;23;6;0.5;0.5
bomber/explosion/1;0;388;718;35;45;86;86;0.4857142857142857;0.044444444444444446
bomber/explosion/2;0;282;1898;46;41;86;86;0.5;-0.04878048780487805
bomber/explosion/3;0;322;1941;32;40;86;86;0.46875;0.175
bomber/explosion/4;1;203;1159;53;33;86;86;0.45454545454545453;0.2641509433962264
bomber/explosion/5;1;264;1989;53;33;86;86;0.45454545454545453;0.3018867924528302
bomber/explosion/6;0;388;848;26;36;86;86;0.5;0.5833333333333334
bomber/explosion/7;0;270;2024;26;23;86;86;0.5;0.9130434782608695
bomber/explosion/8;1;298;2024;21;23;86;86;0.4782608695652174;0.9047619047619048
bomber/propeller/1;0;304;889;8;28;8;40;0.5;0.5357142857142857
bomber/propeller/2;0;415;765;8;34;8;40;0.5;0.5882352941176471
bomber/propeller/3;0;304;889;8;28;8;40;0.5;0.5357142857142857
bomber/propeller/4;0;415;801;8;34;8;40;0.5;0.4117647058823529
hp/bar;1;82;2024;186;23;23;186;0.5;0.5
hp/pip;1;393;1704;5;17;17;5;0.5;0.5
jeep/arm;0;419;1869;4;7;4;7;0.5;0.5
jeep/body/1;1;400;1539;23;80;80;23;0.5;0.5
jeep/body/2;1;400;1621;23;77;80;23;0.5194805194805194;0.5
jeep/body/3;1;400;1700;23;74;80;23;0.5405405405405406;0.5
jeep/body/4;1;257;1852;23;71;80;23;0.5633802816901409;0.5
jeep/body/5;1;280;1772;23;64;80;23;0.625;0.5
jeep/body/6;1;400;1776;23;55;80;23;0.7272727272727273;0.5
jeep/death/1;1;240;1714;46;56;86;86;0.5714285714285714;0.06521739130434782
jeep/death/2;0;335;1704;56;46;86;86;0.5714285714285714;0.06521739130434782
jeep/death/3;0;264;1941;56;46;86;86;0.5714285714285714;0.06521739130434782
jeep/death/4;1;328;1823;44;56;86;86;0.5714285714285714;0.09090909090909091
jeep/death/5;0;375;1881;26;51;86;86;0.5;0.23529411764705882
jeep/death/6;0;135;1791;28;53;86;86;0.4642857142857143;0.3018867924528302
jeep/death/7;0;388;848;26;36;86;86;0.5;0.5833333333333334
jeep/death/8;0;270;2024;26;23;86;86;0.5;0.9130434782608695
jeep/death/9;1;298;2024;21;23;86;86;0.4782608695652174;0.9047619047619048
jeep/driver;0;351;1809;11;12;11;12;0.5;0.5
jeep/explosion/1;1;258;1162;24;27;58;47;0.48148148148148145;0.3541666666666667
jeep/explosion/2;0;356;1934;34;40;58;47;0.5294117647058824;0.4875
jeep/explosion/3;1;374;1833;43;46;58;47;0.4782608695652174;0.5465116279069767
jeep/explosion/4;1;330;1881;43;51;58;47;0.49019607843137253;0.5465116279069767
jeep/explosion/5;1;351;1752;47;55;58;47;0.4727272727272727;0.5
jeep/explosion/6;1;150;1507;41;54;58;47;0.46296296296296297;0.573170731707317
jeep/explosion/7;1;388;668;35;48;58;47;0.3958333333333333;0.6714285714285714
jeep/explosion/8;0;166;950;30;28;58;47;0.03333333333333333;0.5892857142857143
jeep/grenade;1;419;1855;4;12;12;4;0.5;0.5
jeep/grenadier;1;360;1539;22;13;13;22;0.5;0.5
panther/body/1;0;310;237;113;53;113;53;0.5;0.5
panther/body/2;0;310;292;113;53;113;53;0.5;0.5
panther/body/3;1;359;553;53;113;113;53;0.5;0.5
panther/body/4;1;370;1227;53;113;113;53;0.5;0.5
panther/cannon/1;1;405;1402;7;64;138;44;-0.078125;0.14285714285714285
panther/cannon/2;0;285;1181;138;44;138;44;0.5;0.5
panther/cannon/3;1;360;1402;43;135;138;44;0.4888888888888889;0.5116279069767442
panther/cannon/4;1;392;347;28;92;138;44;0.25;0.7857142857142857
panther/death/1;1;344;1554;54;148;432;310;0.5405405405405406;-1.8703703703703705
panther/death/10;1;1;677;163;307;432;310;0.44625407166123776;0.049079754601226995
panther/death/11;0;1;171;307;166;432;310;0.44625407166123776;0.06626506024096386
panther/death/12;0;1;1;307;168;432;310;0.44625407166123776;0.08333333333333333
panther/death/13;0;1;339;305;167;432;310;0.4491803278688525;0.09580838323353294
panther/death/14;0;1;508;305;167;432;310;0.4491803278688525;0.11976047904191617
panther/death/2;1;285;1554;57;147;432;310;0.5374149659863946;-1.719298245614035
panther/death/3;1;285;1402;73;150;432;310;0.5266666666666666;-1.1232876712328768
panther/death/4;1;285;1227;83;173;432;310;0.45664739884393063;-0.8674698795180723
panther/death/5;1;310;1;111;234;432;310;0.45726495726495725;-0.3963963963963964
panther/death/6;1;1;1579;132;265;432;310;0.4339622641509434;-0.17424242424242425
panther/death/7;1;166;677;136;271;432;310;0.42435424354243545;-0.13970588235294118
panther/death/8;1;1;1295;147;282;432;310;0.42907801418439717;-0.05442176870748299
panther/death/9;1;1;986;159;307;432;310;0.44625407166123776;0.025157232704402517
panther/shell;0;288;1763;10;7;10;7;0.5;0.5
player/body/1;1;370;1342;45;58;60;50;0.5172413793103449;0.4444444444444444
player/body/2;1;218;1944;44;58;60;50;0.5172413793103449;0.4318181818181818
player/body/3;1;193;1710;45;58;60;50;0.5172413793103449;0.4444444444444444
player/body/4;1;305;1763;44;58;60;50;0.5172413793103449;0.4318181818181818
player/body/5;1;288;1703;45;58;60;50;0.5172413793103449;0.4444444444444444
player/body/6;1;282;1838;44;58;60;50;0.5172413793103449;0.4318181818181818
player/cannon/1;0;359;668;26;7;90;25;1.7307692307692308;0.21428571428571427
player/cannon/2;1;388;765;25;81;90;25;0.5555555555555556;0.5
player/cannon/3;1;392;441;25;90;90;25;0.5;0.5
player/cannon/4;0;165;2003;45;16;90;25;1;0.28125
player/death/1;1;218;1772;60;78;214;91;0.8589743589743589;0.24166666666666667
player/death/10;1;135;1579;56;210;214;91;0.49523809523809526;0.1875
player/death/11;1;150;1295;41;210;214;91;0.49523809523809526;-0.10975609756097561
player/death/12;1;304;677;40;210;214;91;0.49523809523809526;-0.1375
player/death/13;1;162;986;39;210;214;91;0.49523809523809526;-0.16666666666666666
player/death/14;1;264;950;55;210;214;91;0.49523809523809526;0.17272727272727273
player/death/15;1;346;677;40;210;214;91;0.49523809523809526;-0.1375
player/death/16;1;376;889;40;210;214;91;0.49523809523809526;-0.1375
player/death/17;1;165;1791;51;210;214;91;0.49523809523809526;0.10784313725490197
player/death/18;1;193;1290;51;210;214;91;0.49523809523809526;0.10784313725490197
player/death/19;1;246;1290;37;210;214;91;0.49523809523809526;-0.22972972972972974
player/death/2;1;321;1101;90;78;214;91;0.8589743589743589;0.49444444444444446
player/death/20;1;246;1502;37;210;214;91;0.49523809523809526;-0.22972972972972974
player/death/3;0;162;1198;116;90;214;91;0.6810344827586207;0.49444444444444446
player/death/4;1;82;1846;81;176;214;91;0.5113636363636364;0.4382716049382716
player/death/5;1;1;1846;79;200;214;91;0.52;0.4240506329113924
player/death/6;1;308;347;82;204;214;91;0.5098039215686274;0.4451219512195122
player/death/7;1;193;1502;51;206;214;91;0.5048543689320388;0.10784313725490197
player/death/8;1;203;950;59;207;214;91;0.5024154589371981;0.2288135593220339
player/death/9;1;321;889;53;210;214;91;0.49523809523809526;0.14150943396226415
player/shell;0;288;1763;10;7;10;7;0.5;0.5
